1,-7.4,-8.6,10,10,0,0,10,1
2,-6.5,-7.4,10,10,0,0,10,1
3,-8.6,-6.5,10,10,0,0,10,1
4,-7.4,-8.6,9.42,8.95,0,0,8,1
5,-6.5,-7.4,9.42,8.95,0,0,7,1
6,-8.6,-6.5,9.48,8.95,0,0,5,1
7,-7.4,-8.6,9.94,9.23,0,0,6,1
8,-6.5,-7.4,9.94,9.23,0,0,8,1
9,-8.6,-6.5,10,10,0,0,7,1
10,-7.4,-8.6,10,10,0,0,5,1
11,-6.5,-7.4,10,10,0,0,6,1
12,-8.6,-6.5,10,10,0,0,5,1
13,-7.4,-8.6,10,10,0,0,5,1
14,-6.5,-7.4,10,10,0,0,5,1
15,-8.6,-6.5,10,10,0,0,10,1
16,-7.4,-8.6,10,10,0,0,10,1
17,-6.5,-7.4,9.42,8.95,0,0,8,1
18,-7.1,-6.5,9.42,8.95,0,0,8,1
19,-8.6,-7.1,10,10,0,0,10,1
20,-3.41,-2.15,79.16,57.42,60.42,33.33,6,2
21,-3.58,-2.6,78.9,57.42,59.95,33.33,6,2
22,2.26,-2.85,61.48,43.72,28.98,11.11,6,2
23,-3.56,-0.8,53.36,33.48,19.66,0,6,2
24,-4.26,-0.06,54.6,33.48,20.93,0,6,2
25,-0.06,-1.55,70.66,46.3,52.26,22.22,6,2
26,-1.32,-1.23,73.21,46.3,56.66,22.22,6,2
27,-0.31,-2.16,70.25,46.3,51.65,22.22,6,2
28,-5.86,-5.39,62.62,37.04,42.25,11.11,5,2
29,-5.62,-6.91,65.82,37.04,46.99,11.11,6,2
30,-1.53,-0.58,69.31,55.71,21.18,11.11,5,2
31,-1.65,-0.25,69.93,55.71,21.18,11.11,5,2
32,-2.61,-0.57,74.9,58.82,22.68,11.11,5,2
33,-2.03,0.36,72.82,57.14,22.34,11.11,5,2
34,-1.2,-2.65,77.46,54.27,35.24,11.11,2,2
35,-1.08,-1.44,81.67,54.27,39.18,11.11,2,2
36,-1.35,-0.63,88.76,54.27,45.17,11.11,2,2
37,-1.37,-0.41,88.1,68.49,19.76,11.11,2,2
38,-1.54,-0.28,87.27,67.34,19.95,11.11,2,2
39,-1.47,-0.23,63.95,37.59,5.67,0,0,2
40,-1.6,-0.21,63.34,37.59,5.09,0,0,2
41,-1,-0.34,63.29,51.99,6.13,0,0,2
42,-1.04,-0.17,63.34,51.99,6.13,0,0,2
43,-1.88,-2,54.81,36.7,1.74,0,0,2
44,-2.03,-1,54.15,36.7,1.39,0,0,2
45,-1.54,-3.73,63.17,51.46,7.64,0,0,2
46,-1.54,-3.73,62.69,51.46,7.29,0,0,2
47,-1.68,-8.27,72.63,33.33,63.51,11.11,0,2
48,-1.92,-9,71.93,33.33,62.57,11.11,0,2
49,-2.88,-10.65,60.7,33.33,47.6,11.11,0,2
50,-2.88,-10.65,60,33.33,46.67,11.11,0,2
51,-1.09,-5.59,81.58,50,75.44,33.33,0,2
52,-1.26,-6.21,81.05,50,74.74,33.33,0,2
53,-2.34,-8.03,66.84,50,55.79,33.33,0,2
54,-2.52,-7.94,66.34,50,55.09,33.33,0,2
55,-1.48,-2.52,84.96,60.03,78.27,44.44,6,2
56,-1.5,-2.99,85.22,60.03,78.63,44.44,6,2
57,-3.07,-3.57,77.04,51.5,65.28,33.33,5,2
58,-3.13,-2.88,76.74,51.5,64.82,33.33,5,2
59,-2.76,-5.28,80.76,51.5,71.53,33.33,5,2
60,-2.84,-5.24,80.46,51.5,71.07,33.33,5,2
61,-0.91,-3.53,84.6,38.65,70.14,11.11,2,2
62,-0.93,-3.7,84.38,38.65,69.68,11.11,2,2
63,-1.28,-4.13,78.7,38.65,59.49,11.11,2,2
64,-1.27,-3.46,78.49,38.65,59.03,11.11,2,2
65,-1.91,-4.46,83.43,41.45,62.96,11.11,1,2
66,-1.9,-5.53,83.45,41.45,62.96,11.11,1,2
67,-1.85,-4.56,81.55,41.45,57.87,11.11,1,2
68,-1.94,-3.9,81.29,41.45,57.29,11.11,1,2
69,-1.14,-5.1,75.59,51.6,50.84,22.22,0,2
70,-1.19,-5.18,75.28,51.6,50.48,22.22,0,2
71,-1.57,-2.06,67.42,51.6,40.98,22.22,0,2
72,-1.7,-1.21,67.01,51.6,40.5,22.22,0,2
